 AI Road Intelligence for Indian Autonomous Driving — Traffic Dataset,,,,,,,,,,,,,,,,
Object Class,Road Condition,Time of Day,Weather,City Zone,Distance (m),Confidence,Speed (km/h),BBox X (px),BBox Y (px),BBox W (px),BBox H (px),Lane Discipline,Pothole Severity,Visibility (m),Danger Score,Hazardous?
motorcycle,pothole_light,evening_rush,rainy,hyderabad_highway,5.22,0.895,16.90,890.7,596.5,75.8,80.9,0.068,2.92,32.00,36.50,NO
bus,pothole_heavy,night,clear,kolkata_old,22.15,0.849,29.10,58.5,239.3,249.9,212.1,0.235,8.22,90.20,40.67,NO
pedestrian,construction,night,dusty,delhi_inner,9.32,0.702,5.70,904.6,297.2,43.3,44.4,0.362,9.28,33.40,67.13,YES
truck,pothole_heavy,morning_rush,rainy,rural_highway,14.79,0.795,21.20,293.0,295.1,205.5,286.9,0.510,9.71,22.00,60.57,YES
car,pothole_light,morning_rush,clear,kolkata_old,18.26,0.915,21.60,625.0,484.8,187.1,155.1,0.181,4.97,80.00,32.51,NO
car,damaged_edge,afternoon,dusty,mumbai_suburban,15.24,0.906,26.60,268.7,390.8,171.0,208.2,0.362,4.92,27.60,39.11,NO
car,pothole_light,afternoon,hazy,hyderabad_highway,15.64,0.845,33.50,920.6,344.9,182.5,238.1,0.135,3.41,58.40,35.22,NO
dog,damaged_edge,evening_rush,clear,mumbai_suburban,5.12,0.509,0.00,578.5,454.2,76.2,90.6,0.180,5.91,83.10,62.50,YES
truck,pothole_heavy,evening_rush,rainy,kolkata_old,23.25,0.948,14.50,687.2,226.8,211.2,241.2,0.199,8.03,33.90,45.62,YES
pedestrian,smooth,morning_rush,clear,delhi_inner,11.15,0.792,5.00,991.1,429.7,31.9,39.1,0.213,0.07,83.90,30.84,NO
car,pothole_heavy,morning_rush,foggy,hyderabad_highway,17.32,0.811,23.60,952.3,488.8,216.4,228.9,0.601,6.14,16.50,43.85,YES
bus,pothole_heavy,afternoon,foggy,bangalore_tech,27.23,0.782,23.70,759.8,227.7,242.1,206.9,0.283,7.14,19.30,49.84,YES
cow,construction,evening_rush,dusty,kolkata_old,9.09,0.635,3.30,168.2,363.2,149.4,205.7,0.351,7.90,35.60,68.78,YES
motorcycle,pothole_heavy,morning_rush,hazy,mumbai_suburban,11.14,0.827,14.80,1000.6,319.6,109.1,115.6,0.180,6.68,54.70,42.07,YES
car,smooth,evening_rush,hazy,kolkata_old,14.35,0.957,12.70,673.1,356.5,191.8,230.1,0.234,0.32,39.20,22.28,NO
car,pothole_light,afternoon,foggy,hyderabad_highway,16.21,0.773,27.60,673.1,385.7,175.5,196.3,0.353,4.50,16.40,45.92,YES
motorcycle,pothole_light,night,clear,bangalore_tech,8.70,0.649,42.80,1106.5,462.3,79.0,65.8,0.009,4.57,78.20,33.50,NO
autorickshaw,flooded,night,hazy,kolkata_old,11.24,0.712,29.60,291.8,517.5,107.5,147.5,0.627,6.67,41.60,40.46,NO
autorickshaw,pothole_heavy,afternoon,hazy,bangalore_tech,10.26,0.752,35.30,274.8,336.4,133.2,169.9,0.137,8.75,37.70,57.00,YES
motorcycle,damaged_edge,morning_rush,clear,rural_highway,10.32,0.905,17.10,611.5,427.9,88.5,78.7,0.580,4.25,66.50,27.98,NO
truck,construction,evening_rush,hazy,bangalore_tech,24.83,0.920,22.00,801.7,202.5,212.3,294.9,0.279,5.24,35.90,41.49,YES
car,smooth,morning_rush,dusty,hyderabad_highway,17.99,0.886,24.50,499.0,449.4,164.4,204.2,0.293,0.00,40.50,23.89,NO
motorcycle,construction,evening_rush,dusty,hyderabad_highway,7.00,0.743,29.00,773.2,318.0,60.2,65.2,0.391,7.88,35.00,47.61,YES
motorcycle,pothole_heavy,night,clear,bangalore_tech,15.45,0.650,46.60,536.3,534.3,94.8,110.6,0.107,6.56,84.20,40.80,NO
autorickshaw,pothole_light,evening_rush,clear,mumbai_suburban,9.72,0.781,11.50,706.9,310.2,121.8,105.2,0.039,2.75,77.10,31.24,NO
pedestrian,pothole_light,night,clear,bangalore_tech,8.97,0.677,10.40,1008.7,205.0,53.2,60.5,0.242,2.74,79.50,40.09,NO
car,damaged_edge,afternoon,dusty,hyderabad_highway,12.11,0.858,30.80,200.8,258.6,167.7,141.5,0.386,2.78,43.10,29.62,NO
autorickshaw,construction,morning_rush,clear,mumbai_suburban,12.03,0.751,7.00,821.9,603.6,98.0,110.5,0.114,5.62,87.80,34.64,NO
truck,pothole_light,night,rainy,bangalore_tech,19.70,0.620,33.90,823.3,281.5,234.4,265.3,0.359,5.20,34.70,42.42,YES
car,damaged_edge,afternoon,clear,hyderabad_highway,9.93,0.879,37.20,491.5,230.5,180.6,239.3,0.225,4.14,81.00,25.16,NO
truck,pothole_heavy,evening_rush,rainy,mumbai_suburban,21.79,0.675,16.70,338.2,227.5,233.6,288.5,0.296,5.90,32.60,41.66,YES
car,smooth,afternoon,hazy,kolkata_old,18.51,0.814,27.40,15.0,310.0,174.2,165.5,0.358,0.00,46.90,23.48,NO
